annee,departement,age_min,age_max,population
2019,2A,15,19,7397
2019,2A,20,24,6565
2019,2A,25,29,6981
2019,2A,30,34,9368
2019,2A,35,39,10350
2019,2A,40,44,11481
2019,2A,45,49,10684
2019,2A,50,54,11899
2019,2A,55,59,11151
2019,2A,60,64,10619
2019,2A,65,69,10508
2019,2A,70,74,10455
2019,2A,75,79,7929
2019,2A,80,84,6439
2019,2A,85,89,3776
2019,2A,90,94,1858
2019,2A,95,120,497
2019,2B,0,4,7556
2019,2B,5,9,9125
2019,2B,10,14,10300
2019,2B,15,19,9196
2019,2B,20,24,9524
2019,2B,25,29,10812
2019,2B,30,34,11160
2019,2B,35,39,11431
2019,2B,40,44,11920
2019,2B,45,49,11998
2019,2B,50,54,13219
2019,2B,55,59,12826
2019,2B,60,64,12311
2019,2B,65,69,12041
2019,2B,70,74,11854
2019,2B,75,79,9001
2019,2B,80,84,6596
2019,2B,85,89,3934
2019,2B,90,94,1965
2019,2B,95,120,531
2019,21,0,4,24835
2019,21,5,9,28240
2019,21,10,14,30465
2019,21,15,19,35053
2019,21,20,24,36512
2019,21,25,29,31765
2019,21,30,34,30947
2019,21,35,39,31533
2019,21,40,44,31881
2019,21,45,49,31909
2019,21,50,54,35241
2019,21,55,59,34118
2019,21,60,64,33513
2019,21,65,69,32016
2019,21,70,74,30800
2019,21,75,79,22749
2019,21,80,84,14974
2019,21,85,89,11238
2019,21,90,94,6115
2019,21,95,120,2262
2019,22,0,4,26867
2019,22,5,9,31896
2019,22,10,14,37336
2019,22,15,19,35921
2019,22,20,24,28055
2019,22,25,29,24442
2019,22,30,34,28247
2019,22,35,39,31572
2019,22,40,44,34734
2019,22,45,49,36629
2019,22,50,54,41392
2019,22,55,59,41286
2019,22,60,64,42903
2019,22,65,69,43722
2019,22,70,74,43440
2019,22,75,79,31733
2019,22,80,84,20356
2019,22,85,89,16381
2019,22,90,94,8432
2019,22,95,120,2490
2019,23,0,4,3960
2019,23,5,9,4812
2019,23,10,14,5703
2019,23,15,19,5719
2019,23,20,24,4510
2019,23,25,29,4203
2019,23,30,34,4829
2019,23,35,39,5253
2019,23,40,44,5978
2019,23,45,49,6408
2019,23,50,54,7814
2019,23,55,59,8521
2019,23,60,64,9360
2019,23,65,69,9516
2019,23,70,74,9247
2019,23,75,79,6671
2019,23,80,84,4298
2019,23,85,89,3673
2019,23,90,94,2019
2019,23,95,120,612
2019,24,0,4,15362
2019,24,5,9,18720
2019,24,10,14,21316
2019,24,15,19,20532
2019,24,20,24,16886
2019,24,25,29,15564
2019,24,30,34,18675
2019,24,35,39,20300
2019,24,40,44,22400
2019,24,45,49,23669
2019,24,50,54,28108
2019,24,55,59,30565
2019,24,60,64,32488
2019,24,65,69,33293
2019,24,70,74,32614
2019,24,75,79,24318
2019,24,80,84,15560
2019,24,85,89,12143
2019,24,90,94,6691
2019,24,95,120,2178
2019,25,0,4,27988
2019,25,5,9,33365
2019,25,10,14,35859
2019,25,15,19,36326
2019,25,20,24,34021
2019,25,25,29,31924
2019,25,30,34,32410
2019,25,35,39,34104
2019,25,40,44,34954
2019,25,45,49,33063
2019,25,50,54,35469
2019,25,55,59,34687
2019,25,60,64,32137
2019,25,65,69,30072
2019,25,70,74,28769
2019,25,75,79,22034
2019,25,80,84,14668
2019,25,85,89,10894
2019,25,90,94,5678
2019,25,95,120,1690
2019,26,0,4,25903
2019,26,5,9,30352
2019,26,10,14,33805
2019,26,15,19,31794
2019,26,20,24,26064
2019,26,25,29,24170
2019,26,30,34,28910
2019,26,35,39,31688
2019,26,40,44,32346
2019,26,45,49,31387
2019,26,50,54,35396
2019,26,55,59,35169
2019,26,60,64,33618
2019,26,65,69,32307
2019,26,70,74,30802
2019,26,75,79,24327
2019,26,80,84,16172
2019,26,85,89,11278
2019,26,90,94,5851
2019,26,95,120,1846
2019,27,0,4,31524
2019,27,5,9,37991
2019,27,10,14,41970
2019,27,15,19,37259
2019,27,20,24,29525
2019,27,25,29,27126
2019,27,30,34,32904
2019,27,35,39,37422
2019,27,40,44,38473
2019,27,45,49,38159
2019,27,50,54,41477
2019,27,55,59,39874
2019,27,60,64,38446
2019,27,65,69,36092
2019,27,70,74,33684
2019,27,75,79,23278
2019,27,80,84,14182
2019,27,85,89,10776
2019,27,90,94,5101
2019,27,95,120,1447
2019,28,0,4,22622
2019,28,5,9,27063
2019,28,10,14,29735
2019,28,15,19,26605
2019,28,20,24,21081
2019,28,25,29,19472
2019,28,30,34,23071
2019,28,35,39,25632
2019,28,40,44,27494
2019,28,45,49,27432
2019,28,50,54,29514
2019,28,55,59,29069
2019,28,60,64,26909
2019,28,65,69,25588
2019,28,70,74,24835
2019,28,75,79,17263
2019,28,80,84,11195
2019,28,85,89,8540
2019,28,90,94,4507
2019,28,95,120,1367
2019,29,0,4,40545
2019,29,5,9,47547
2019,29,10,14,54534
2019,29,15,19,55718
2019,29,20,24,50580
2019,29,25,29,43514
2019,29,30,34,46943
2019,29,35,39,51865
2019,29,40,44,55197
2019,29,45,49,56909
2019,29,50,54,63026
2019,29,55,59,62488
2019,29,60,64,64565
2019,29,65,69,63631
2019,29,70,74,59607
2019,29,75,79,42967
2019,29,80,84,28299
2019,29,85,89,22836
2019,29,90,94,11707
2019,29,95,120,3587
2019,30,0,4,35574
2019,30,5,9,41944
2019,30,10,14,45881
2019,30,15,19,44803
2019,30,20,24,39527
2019,30,25,29,33991
2019,30,30,34,37922
2019,30,35,39,42342
2019,30,40,44,45863
2019,30,45,49,44825
2019,30,50,54,51848
2019,30,55,59,53283
2019,30,60,64,51609
2019,30,65,69,50468
2019,30,70,74,48788
2019,30,75,79,36934
2019,30,80,84,23387
2019,30,85,89,16466
2019,30,90,94,8690
2019,30,95,120,3290
2019,31,0,4,77590
2019,31,5,9,85020
2019,31,10,14,88179
2019,31,15,19,95146
2019,31,20,24,104076
2019,31,25,29,104036
2019,31,30,34,102620
2019,31,35,39,99738
2019,31,40,44,100399
2019,31,45,49,92332
2019,31,50,54,93471
2019,31,55,59,90616
2019,31,60,64,79894
2019,31,65,69,69235
2019,31,70,74,64164
2019,31,75,79,49731
2019,31,80,84,31944
2019,31,85,89,24970
2019,31,90,94,13039
2019,31,95,120,4167
2019,32,0,4,7612
2019,32,5,9,9161
2019,32,10,14,10855
2019,32,15,19,10310
2019,32,20,24,8021
2019,32,25,29,6930
2019,32,30,34,8355
2019,32,35,39,9712
2019,32,40,44,10590
2019,32,45,49,11467
2019,32,50,54,14029
2019,32,55,59,14424
2019,32,60,64,14929
2019,32,65,69,14263
2019,32,70,74,13955
2019,32,75,79,10720
2019,32,80,84,7443
2019,32,85,89,5873
2019,32,90,94,3298
2019,32,95,120,873
2019,33,0,4,83436
2019,33,5,9,93819
2019,33,10,14,100638
2019,33,15,19,105720
2019,33,20,24,108185
2019,33,25,29,102131
2019,33,30,34,107106
2019,33,35,39,108702
2019,33,40,44,113462
2019,33,45,49,109606
2019,33,50,54,113634
2019,33,55,59,105173
2019,33,60,64,96730
2019,33,65,69,91226
2019,33,70,74,89393
2019,33,75,79,67284
2019,33,80,84,40833
2019,33,85,89,31640
2019,33,90,94,16918
2019,33,95,120,5801
2019,34,0,4,60609
2019,34,5,9,67310
2019,34,10,14,73413
2019,34,15,19,77872
2019,34,20,24,78204
2019,34,25,29,72014
2019,34,30,34,72880
2019,34,35,39,73814
2019,34,40,44,76329
2019,34,45,49,73080
2019,34,50,54,79229
2019,34,55,59,77026
2019,34,60,64,73399
2019,34,65,69,70884
2019,34,70,74,71957
2019,34,75,79,57024
2019,34,80,84,35979
2019,34,85,89,24788
2019,34,90,94,13009
2019,34,95,120,3985
2019,35,0,4,57999
2019,35,5,9,66368
2019,35,10,14,73459
2019,35,15,19,77193
2019,35,20,24,75075
2019,35,25,29,67724
2019,35,30,34,68097
2019,35,35,39,69215
2019,35,40,44,73322
2019,35,45,49,71190
2019,35,50,54,73376
2019,35,55,59,68881
2019,35,60,64,62855
2019,35,65,69,56025
2019,35,70,74,54346
2019,35,75,79,40149
2019,35,80,84,26675
2019,35,85,89,21537
2019,35,90,94,11415
2019,35,95,120,3699
2019,36,0,4,8740
2019,36,5,9,10249
2019,36,10,14,11484
2019,36,15,19,11322
2019,36,20,24,9703
2019,36,25,29,8869
2019,36,30,34,9892
2019,36,35,39,10590
2019,36,40,44,11036
2019,36,45,49,12465
2019,36,50,54,14907
2019,36,55,59,15755
2019,36,60,64,15835
2019,36,65,69,16116
2019,36,70,74,16008
2019,36,75,79,12377
2019,36,80,84,8291
2019,36,85,89,6674
2019,36,90,94,3524
2019,36,95,120,1077
2019,37,0,4,29845
2019,37,5,9,33895
2019,37,10,14,37197
2019,37,15,19,39723
2019,37,20,24,37248
2019,37,25,29,34227
2019,37,30,34,34718
2019,37,35,39,36307
2019,37,40,44,37287
2019,37,45,49,37185
2019,37,50,54,41058
2019,37,55,59,40197
2019,37,60,64,37739
2019,37,65,69,36791
2019,37,70,74,36469
2019,37,75,79,26680
2019,37,80,84,17465
2019,37,85,89,14214
2019,37,90,94,7184
2019,37,95,120,2587
2019,38,0,4,68358
2019,38,5,9,80382
2019,38,10,14,86576
2019,38,15,19,86178
2019,38,20,24,79560
2019,38,25,29,70020
2019,38,30,34,75615
2019,38,35,39,80566
2019,38,40,44,83820
2019,38,45,49,82010
2019,38,50,54,87236
2019,38,55,59,84433
2019,38,60,64,76484
2019,38,65,69,68862
2019,38,70,74,63493
2019,38,75,79,49596
2019,38,80,84,32809
2019,38,85,89,22800
2019,38,90,94,11789
2019,38,95,120,3889
2019,39,0,4,11467
2019,39,5,9,13954
2019,39,10,14,15592
2019,39,15,19,14597
2019,39,20,24,12491
2019,39,25,29,11538
2019,39,30,34,13003
2019,39,35,39,14201
2019,39,40,44,15543
2019,39,45,49,15505
2019,39,50,54,17899
2019,39,55,59,18373
2019,39,60,64,17534
2019,39,65,69,16938
2019,39,70,74,16542
2019,39,75,79,12580
2019,39,80,84,8443
2019,39,85,89,6148
2019,39,90,94,3387
2019,39,95,120,1079
2019,40,0,4,18109
2019,40,5,9,21460
2019,40,10,14,25028
2019,40,15,19,22583
2019,40,20,24,18628
2019,40,25,29,16758
2019,40,30,34,20508
2019,40,35,39,23803
2019,40,40,44,26663
2019,40,45,49,27567
2019,40,50,54,30301
2019,40,55,59,30935
2019,40,60,64,30517
2019,40,65,69,30673
2019,40,70,74,30505
2019,40,75,79,22229
2019,40,80,84,14099
2019,40,85,89,10953
2019,40,90,94,5543
2019,40,95,120,1807
2019,41,0,4,14941
2019,41,5,9,17924
2019,41,10,14,20154
2019,41,15,19,19020
2019,41,20,24,14611
2019,41,25,29,13684
2019,41,30,34,16346
2019,41,35,39,17575
2019,41,40,44,18762
2019,41,45,49,19808
2019,41,50,54,22366
2019,41,55,59,22915
2019,41,60,64,22657
2019,41,65,69,22045
2019,41,70,74,21941
2019,41,75,79,16241
2019,41,80,84,10627
2019,41,85,89,8845
2019,41,90,94,4640
2019,41,95,120,1363
2019,42,0,4,39841
2019,42,5,9,46022
2019,42,10,14,49787
2019,42,15,19,48844
2019,42,20,24,45931
2019,42,25,29,39242
2019,42,30,34,40701
2019,42,35,39,44047
2019,42,40,44,46303
2019,42,45,49,45627
2019,42,50,54,49814
2019,42,55,59,48984
2019,42,60,64,46658
2019,42,65,69,45646
2019,42,70,74,44816
2019,42,75,79,35346
